date,personnel
2022-09-20,54810
2022-09-21,55110
2022-09-22,55510
2022-09-23,56060
2022-09-24,56300
2022-09-25,56700
2022-09-26,57200
2022-09-27,57750
2022-09-28,58150
2022-09-29,58580
2022-09-30,59080
2022-10-01,59610
2022-10-02,60110
2022-10-03,60430
2022-10-04,60800
2022-10-05,61000
2022-10-06,61330
2022-10-07,61680
2022-10-08,62060
2022-10-09,62500
2022-10-10,62870
2022-10-11,63110
2022-10-12,63380
2022-10-13,63800
2022-10-14,64300
2022-10-15,64700
2022-10-16,65000
2022-10-17,65320
2022-10-18,65850
2022-10-19,66280
2022-10-20,66650
2022-10-21,66750
2022-10-22,67070
2022-10-23,67470
2022-10-24,67940
2022-10-25,68420
2022-10-26,68900
2022-10-27,69220
2022-10-28,69700
2022-10-29,70250
2022-10-30,71200
2022-10-31,71820
2022-11-01,72470
2022-11-02,73270
2022-11-03,74000
2022-11-04,74840
2022-11-05,75440
2022-11-06,75930
2022-11-07,76460
2022-11-08,77170
2022-11-09,77950
2022-11-10,78690
2022-11-11,79400
2022-11-12,80210
2022-11-13,80860
2022-11-14,81370
2022-11-15,82080
2022-11-16,82710
2022-11-17,83110
2022-11-18,83460
2022-11-19,83880
2022-11-20,84210
2022-11-21,84600
2022-11-22,85000
2022-11-23,85410
2022-11-24,85720
2022-11-25,86150
2022-11-26,86710
2022-11-27,87310
2022-11-28,87900
2022-11-29,88380
2022-11-30,88880
2022-12-01,89440
2022-12-02,90090
2022-12-03,90600
2022-12-04,91150
2022-12-05,91690
2022-12-06,92200
2022-12-07,92740
2022-12-08,93080
2022-12-09,93390
2022-12-10,93760
2022-12-11,94140
2022-12-12,94760
2022-12-13,95260
2022-12-14,96000
2022-12-15,96590
2022-12-16,97270
2022-12-17,97690
2022-12-18,98280
2022-12-19,98800
2022-12-20,99230
2022-12-21,99740
2022-12-22,100400
2022-12-23,100950
2022-12-24,101430
2022-12-25,102050
2022-12-26,102600
2022-12-27,103220
2022-12-28,103770
2022-12-29,104560
2022-12-30,105250
2022-12-31,105960
2023-01-01,106720
2023-01-02,107440
2023-01-03,108190
2023-01-04,108910
2023-01-05,109720
2023-01-06,110250
2023-01-07,110740
2023-01-08,111170
2023-01-09,111760
2023-01-10,112470
2023-01-11,112960
2023-01-12,113390
2023-01-13,114130
2023-01-14,114660
2023-01-15,115290
2023-01-16,116080
2023-01-17,116950
2023-01-18,117770
2023-01-19,118530
2023-01-20,119300
2023-01-21,120160
2023-01-22,120760
2023-01-23,121480
2023-01-24,122170
2023-01-25,123080
2023-01-26,123860
2023-01-27,124710
2023-01-28,125510
2023-01-29,126160
2023-01-30,126650
2023-01-31,127500
2023-02-01,128420
2023-02-02,129030
2023-02-03,129870
2023-02-04,130590
2023-02-05,131290
2023-02-06,132160
2023-02-07,133190
2023-02-08,134100
2023-02-09,135010
2023-02-10,135740
2023-02-11,136880
2023-02-12,137780
2023-02-13,138340
2023-02-14,139080
2023-02-15,139770
2023-02-16,140460
2023-02-17,141260
2023-02-18,142270
2023-02-19,142860
2023-02-20,143680
2023-02-21,144440
2023-02-22,145060
2023-02-23,145850
2023-02-24,146820
2023-02-25,147470
2023-02-26,148130
2023-02-27,148690
2023-02-28,149240
2023-03-01,149890
2023-03-02,150605
2023-03-03,151370
2023-03-04,152190
2023-03-05,153120
2023-03-06,153770
2023-03-07,154830
2023-03-08,155530
2023-03-09,156120
2023-03-10,156990
2023-03-11,158000
2023-03-12,159090
2023-03-13,159800
2023-03-14,160540
2023-03-15,161520
2023-03-16,162560
2023-03-17,163320
2023-03-18,164200
2023-03-19,164910
2023-03-20,165610
2023-03-21,166570
2023-03-22,167490
2023-03-23,168150
2023-03-24,169170
2023-03-25,169890
2023-03-26,170550
2023-03-27,171160
2023-03-28,171730
